,y_return_ratio,TensorFlow__diff_1_shift_4,deep learning__diff_1_shift_4,Artificial Intelligence__diff_1_shift_19,Machine Learning__diff_1_shift_4,neural network__diff_1_shift_9,MXNet__diff_1_shift_9,blockchain_news_diff_1_shift_4,GPU_news_diff_1_shift_17,gaming_news_diff_1_shift_2,SandP_diff_1,NasdaqTech_diff_1,ATVI_gaming_diff_1,TTWO_gaming_diff_1,UBSFY_gaming_diff_1,fps_transformed_ffill_diff_1_shift_2,fps_transformed_interpolated_diff_1_shift_2,fps_interpolated_transformed_diff_1_shift_2,PLUS_DM_diff_1,MINUS_DM_diff_1_shift_8,AD_diff_1,OBV_diff_1,MIDPOINT_diff_1,MIDPRICE_diff_1,SAR_diff_1_shift_13,TEMA_diff_1,AVGPRICE_diff_1,MEDPRICE_diff_1,TYPPRICE_diff_1,WCLPRICE_diff_1,LINEARREG_diff_1,TSF_diff_1,ADD_diff_1,MAX_diff_1,MAXINDEX_diff_1,MIN_diff_1,MININDEX_diff_1_shift_19,MULT_diff_1,ATAN_diff_1,CEIL_diff_1,FLOOR_diff_1,LN_diff_1,LOG10_diff_1,SQRT_diff_1,ATVI_gaming_rr,TTWO_gaming_rr,AMD_rr,SandP_rr,NasdaqTech_rr
2012-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-04,0.011396011396011407,,,,,,,,,,9.205016999999998,-10.755004999999983,-0.16999999999999993,0.07500000000000107,-0.020000000000000018,,,,,,5619252.941176451,8684300.0,,,,,-0.08000000000009955,-0.11500000000000021,-0.023333333333399153,0.02250000000010033,,,-0.23000000000000043,,0.0,,,-3.2448000000000263,0.0007985305337800952,0.0,0.0,0.011331566009550098,0.004921236589270128,0.021289937244319823,-0.013787510137875096,0.005389867049946178,-0.007266121707538768,0.007259706016188575,-0.008121704808358991
2012-01-05,0.03591549295774659,,,,,,,,,,2.0150149999999485,9.705016999999998,-0.04499999999999993,0.4599999999999991,0.09999999999999987,,,,,,11310646.478873279,14088700.0,,,,,0.315000000000099,0.33500000000000085,0.39333333333339837,0.4225000000000012,,,0.6700000000000017,,0.0,,,9.455399999999997,0.0024299320390601675,0.0,0.0,0.03528557000612986,0.015324328344479943,0.06707304586967,-0.003700657894736836,0.032880629020729024,-0.0018298261665141426,0.0015777248346679402,0.007388809974324477
2012-01-06,-0.01155676410605042,,,,,,,,,-0.32258064516128115,0.19000249999999141,9.424987999999985,0.049999999999998934,0.25,0.0,,,,,,-6.984919309616089e-08,-13331300.0,,,,,0.15749999999990116,0.11499999999999844,0.019999999999999574,-0.027500000000001634,,,0.22999999999999687,,0.0,,,3.4281000000000006,-0.0007911265576301396,0.0,0.0,-0.011624062507969768,-0.0050482662045199245,-0.0222265891654998,0.0041271151465125,0.017301038062283742,-0.0036663611365720366,0.00014853460183799223,0.007122982552201782
2012-01-09,0.0,,,,,,,,,-0.32258064516129537,-0.10510299999987183,8.465026500000022,0.05000000000000071,0.15000000000000036,0.0,,,,,,-6018678.94736846,0.0,,,,,0.007499999999998508,0.08999999999990038,0.0600000000000005,0.04499999999990045,,,0.17999999999990024,,0.0,,,2.6180999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.004110152075626857,0.010204081632653086,0.012879484820607228,-8.215214938467792e-05,0.006352239878935393
2012-01-10,-0.004126547455295648,0.0,0.032258064516129004,,0.0645161290322509,,,0.0,,-0.32258064516129537,7.160034499999938,16.669983000000002,0.15000000000000036,-0.09999999999999964,0.0,,,,,,-6653994.87179486,-13658200.0,,,,,0.010000000000001563,-0.05499999999990024,-0.05666666666669862,-0.05749999999989974,,,-0.10999999999989996,,0.0,,,-1.6082000000000107,-0.0002836353658797197,0.0,0.0,-0.004135085147800588,-0.0017958446618899782,-0.007875674899439744,0.012279983626688529,-0.00673400673400671,0.03269754768392365,0.005596991053659736,0.012430360020720382
2012-01-11,-0.020027624309392332,0.0,0.032258064516129004,,0.06451612903225801,,,0.0,,-0.9677419354838648,5.825012000000015,0.4100344999999379,0.16999999999999993,-0.29499999999999993,-0.04999999999999982,,,,,,-7955897.142857229,-12106800.0,,,,,-0.309999999999901,-0.2699999999999996,-0.27666666666670103,-0.2800000000001006,,,-0.5399999999999991,,0.0,,,-7.790199999999999,-0.001404553319300117,0.0,0.0,-0.02023089578561965,-0.008786166403650153,-0.038297877720609996,0.013748483623129795,-0.019999999999999997,0.010554089709762463,0.004528061919145507,0.00030199780740047127
2012-01-12,-0.006342494714587728,0.0,0.032258064516129004,,0.06451612903225978,,,0.0,,-0.32258064516129537,1.7399900000000343,6.774963000000071,0.054999999999999716,-0.03500000000000014,0.05499999999999994,,,,,,6671904.545454519,-16309100.0,,,,,-0.20250000000010004,-0.29499999999999993,-0.22666666666660085,-0.19249999999989953,,,-0.5899999999999999,,0.0,,,-8.3707,-0.00044758524754029416,0.0,0.0,-0.00636269378782961,-0.002763282802090039,-0.011964969263760672,0.004387714399680871,-0.0024213075060532784,0.01392515230635352,0.0013464809440897926,0.004988376009855214
2012-01-13,-0.026241134751772997,0.0,0.09677419354838657,,0.19354838709677225,,,0.0,,-0.32258064516128826,-2.035033999999996,-8.965026500000022,-0.22000000000000064,0.015000000000000568,0.004999999999999893,,,,,,-7837094.59459452,-12607500.0,,,,,-0.22999999999989917,-0.1650000000001004,-0.23333333333339823,-0.26750000000000007,,,-0.3300000000001013,,0.0,,,-4.58189999999999,-0.001901402178439815,-1.0,-1.0,-0.026591577604250016,-0.01154857541862997,-0.04959520837392972,-0.017474185861795128,0.0010402219140083614,-0.019742489270386302,-0.0015726814084550964,-0.0065681459289718075
2012-01-17,-0.01529497450837588,0.0,0.03225806451612989,,0.06451612903225978,,,0.0,,-0.32258064516128115,-0.009948500000064087,7.190063499999951,-0.1899999999999995,0.22999999999999865,0.0,,,,,,-14253999.999999998,-15679400.0,,,,,-0.13000000000010026,-0.125,-0.15333333333329868,-0.16750000000000043,,,-0.25,,0.0,,,-3.4598000000000013,-0.0011252229623299748,0.0,0.0,-0.015413149165060425,-0.006693845631139839,-0.02844620055974012,-0.01535974130962001,0.015933494977485186,0.007005253940455348,-7.700345862572075e-06,0.005302563281217676
